2022-01-10 09:44:53,183 [scheduling-1] INFO  [com.bsjx.mes.pdm.service.ProcessServiceImpl] ProcessServiceImpl.java:87 - MonitorTask size:0
2022-01-10 09:44:53,184 [scheduling-1] INFO  [com.bsjx.mes.pdm.service.ProcessServiceImpl] ProcessServiceImpl.java:79 - 清理BOM缓存......
2022-01-10 09:44:58,193 [scheduling-1] INFO  [com.bsjx.mes.pdm.service.ProcessServiceImpl] ProcessServiceImpl.java:79 - 清理BOM缓存......
2022-01-10 09:44:58,193 [scheduling-1] INFO  [com.bsjx.mes.pdm.task.PdmSchedulerTask] PdmSchedulerTask.java:55 - 开始执行监控任务......
2022-01-10 09:44:58,202 [scheduling-1] INFO  [com.bsjx.mes.pdm.service.ProcessServiceImpl] ProcessServiceImpl.java:87 - MonitorTask size:0
2022-01-10 09:44:58,202 [scheduling-1] INFO  [com.bsjx.mes.pdm.service.ProcessServiceImpl] ProcessServiceImpl.java:79 - 清理BOM缓存......
2022-01-10 09:45:00,030 [scheduling-1] INFO  [o.s.scheduling.concurrent.ThreadPoolTaskExecutor] ExecutorConfigurationSupport.java:171 - Initializing ExecutorService 'applicationTaskExecutor'
2022-01-10 09:45:10,716 [scheduling-1] INFO  [com.bsjx.mes.pdm.service.ProcessServiceImpl] ProcessServiceImpl.java:79 - 清理BOM缓存......
2022-01-10 09:45:16,812 [scheduling-1] INFO  [com.bsjx.mes.pdm.task.PdmSchedulerTask] PdmSchedulerTask.java:55 - 开始执行监控任务......
2022-01-10 09:45:16,822 [scheduling-1] INFO  [com.bsjx.mes.pdm.service.ProcessServiceImpl] ProcessServiceImpl.java:87 - MonitorTask size:0
2022-01-10 09:45:16,822 [scheduling-1] INFO  [com.bsjx.mes.pdm.service.ProcessServiceImpl] ProcessServiceImpl.java:79 - 清理BOM缓存......
2022-01-10 09:45:21,824 [scheduling-1] INFO  [com.bsjx.mes.pdm.service.ProcessServiceImpl] ProcessServiceImpl.java:79 - 清理BOM缓存......
2022-01-10 09:45:21,824 [scheduling-1] INFO  [com.bsjx.mes.pdm.task.PdmSchedulerTask] PdmSchedulerTask.java:55 - 开始执行监控任务......
2022-01-10 09:45:21,834 [scheduling-1] INFO  [com.bsjx.mes.pdm.service.ProcessServiceImpl] ProcessServiceImpl.java:87 - MonitorTask size:0
2022-01-10 09:45:21,835 [scheduling-1] INFO  [com.bsjx.mes.pdm.service.ProcessServiceImpl] ProcessServiceImpl.java:79 - 清理BOM缓存......
2022-01-10 09:45:26,839 [scheduling-1] INFO  [com.bsjx.mes.pdm.service.ProcessServiceImpl] ProcessServiceImpl.java:79 - 清理BOM缓存......
2022-01-10 09:45:26,840 [scheduling-1] INFO  [com.bsjx.mes.pdm.task.PdmSchedulerTask] PdmSchedulerTask.java:55 - 开始执行监控任务......
2022-01-10 09:45:26,851 [scheduling-1] INFO  [com.bsjx.mes.pdm.service.ProcessServiceImpl] ProcessServiceImpl.java:87 - MonitorTask size:0
2022-01-10 09:45:26,851 [scheduling-1] INFO  [com.bsjx.mes.pdm.service.ProcessServiceImpl] ProcessServiceImpl.java:79 - 清理BOM缓存......
2022-01-10 09:45:31,861 [scheduling-1] INFO  [com.bsjx.mes.pdm.service.ProcessServiceImpl] ProcessServiceImpl.java:79 - 清理BOM缓存......
2022-01-10 09:45:31,861 [scheduling-1] INFO  [com.bsjx.mes.pdm.task.PdmSchedulerTask] PdmSchedulerTask.java:55 - 开始执行监控任务......
2022-01-10 09:45:31,871 [scheduling-1] INFO  [com.bsjx.mes.pdm.service.ProcessServiceImpl] ProcessServiceImpl.java:87 - MonitorTask size:0
2022-01-10 09:45:31,872 [scheduling-1] INFO  [com.bsjx.mes.pdm.service.ProcessServiceImpl] ProcessServiceImpl.java:79 - 清理BOM缓存......
2022-01-10 09:45:36,876 [scheduling-1] INFO  [com.bsjx.mes.pdm.service.ProcessServiceImpl] ProcessServiceImpl.java:79 - 清理BOM缓存......
2022-01-10 09:45:36,878 [scheduling-1] INFO  [com.bsjx.mes.pdm.task.PdmSchedulerTask] PdmSchedulerTask.java:55 - 开始执行监控任务......
2022-01-10 09:45:36,895 [scheduling-1] INFO  [com.bsjx.mes.pdm.service.ProcessServiceImpl] ProcessServiceImpl.java:87 - MonitorTask size:0
2022-01-10 09:45:36,896 [scheduling-1] INFO  [com.bsjx.mes.pdm.service.ProcessServiceImpl] ProcessServiceImpl.java:79 - 清理BOM缓存......
2022-01-10 09:45:41,902 [scheduling-1] INFO  [com.bsjx.mes.pdm.service.ProcessServiceImpl] ProcessServiceImpl.java:79 - 清理BOM缓存......
2022-01-10 09:45:41,903 [scheduling-1] INFO  [com.bsjx.mes.pdm.task.PdmSchedulerTask] PdmSchedulerTask.java:55 - 开始执行监控任务......
2022-01-10 09:45:41,916 [scheduling-1] INFO  [com.bsjx.mes.pdm.service.ProcessServiceImpl] ProcessServiceImpl.java:87 - MonitorTask size:0
2022-01-10 09:45:41,917 [scheduling-1] INFO  [com.bsjx.mes.pdm.service.ProcessServiceImpl] ProcessServiceImpl.java:79 - 清理BOM缓存......
2022-01-10 09:45:46,929 [scheduling-1] INFO  [com.bsjx.mes.pdm.service.ProcessServiceImpl] ProcessServiceImpl.java:79 - 清理BOM缓存......
2022-01-10 09:45:46,930 [scheduling-1] INFO  [com.bsjx.mes.pdm.task.PdmSchedulerTask] PdmSchedulerTask.java:55 - 开始执行监控任务......
2022-01-10 09:45:46,948 [scheduling-1] INFO  [com.bsjx.mes.pdm.service.ProcessServiceImpl] ProcessServiceImpl.java:87 - MonitorTask size:0
2022-01-10 09:45:46,949 [scheduling-1] INFO  [com.bsjx.mes.pdm.service.ProcessServiceImpl] ProcessServiceImpl.java:79 - 清理BOM缓存......
2022-01-10 09:45:51,953 [scheduling-1] INFO  [com.bsjx.mes.pdm.service.ProcessServiceImpl] ProcessServiceImpl.java:79 - 清理BOM缓存......
2022-01-10 09:45:51,954 [scheduling-1] INFO  [com.bsjx.mes.pdm.task.PdmSchedulerTask] PdmSchedulerTask.java:55 - 开始执行监控任务......
2022-01-10 09:45:51,964 [scheduling-1] INFO  [com.bsjx.mes.pdm.service.ProcessServiceImpl] ProcessServiceImpl.java:87 - MonitorTask size:0
2022-01-10 09:45:51,965 [scheduling-1] INFO  [com.bsjx.mes.pdm.service.ProcessServiceImpl] ProcessServiceImpl.java:79 - 清理BOM缓存......
2022-01-10 09:45:56,974 [scheduling-1] INFO  [com.bsjx.mes.pdm.service.ProcessServiceImpl] ProcessServiceImpl.java:79 - 清理BOM缓存......
2022-01-10 09:45:56,975 [scheduling-1] INFO  [com.bsjx.mes.pdm.task.PdmSchedulerTask] PdmSchedulerTask.java:55 - 开始执行监控任务......
2022-01-10 09:45:56,992 [scheduling-1] INFO  [com.bsjx.mes.pdm.service.ProcessServiceImpl] ProcessServiceImpl.java:87 - MonitorTask size:0
2022-01-10 09:45:56,993 [scheduling-1] INFO  [com.bsjx.mes.pdm.service.ProcessServiceImpl] ProcessServiceImpl.java:79 - 清理BOM缓存......
2022-01-10 09:46:02,006 [scheduling-1] INFO  [com.bsjx.mes.pdm.service.ProcessServiceImpl] ProcessServiceImpl.java:79 - 清理BOM缓存......
2022-01-10 09:46:02,008 [scheduling-1] INFO  [com.bsjx.mes.pdm.task.PdmSchedulerTask] PdmSchedulerTask.java:55 - 开始执行监控任务......
2022-01-10 09:46:02,020 [scheduling-1] INFO  [com.bsjx.mes.pdm.service.ProcessServiceImpl] ProcessServiceImpl.java:87 - MonitorTask size:0
2022-01-10 09:46:02,021 [scheduling-1] INFO  [com.bsjx.mes.pdm.service.ProcessServiceImpl] ProcessServiceImpl.java:79 - 清理BOM缓存......
2022-01-10 09:46:07,032 [scheduling-1] INFO  [com.bsjx.mes.pdm.service.ProcessServiceImpl] ProcessServiceImpl.java:79 - 清理BOM缓存......
2022-01-10 09:46:07,032 [scheduling-1] INFO  [com.bsjx.mes.pdm.task.PdmSchedulerTask] PdmSchedulerTask.java:55 - 开始执行监控任务......
2022-01-10 09:46:07,041 [scheduling-1] INFO  [com.bsjx.mes.pdm.service.ProcessServiceImpl] ProcessServiceImpl.java:87 - MonitorTask size:0
2022-01-10 09:46:07,041 [scheduling-1] INFO  [com.bsjx.mes.pdm.service.ProcessServiceImpl] ProcessServiceImpl.java:79 - 清理BOM缓存......
2022-01-10 09:46:12,043 [scheduling-1] INFO  [com.bsjx.mes.pdm.service.ProcessServiceImpl] ProcessServiceImpl.java:79 - 清理BOM缓存......
2022-01-10 09:46:12,043 [scheduling-1] INFO  [com.bsjx.mes.pdm.task.PdmSchedulerTask] PdmSchedulerTask.java:55 - 开始执行监控任务......
2022-01-10 09:46:12,056 [scheduling-1] INFO  [com.bsjx.mes.pdm.service.ProcessServiceImpl] ProcessServiceImpl.java:87 - MonitorTask size:0
2022-01-10 09:46:12,057 [scheduling-1] INFO  [com.bsjx.mes.pdm.service.ProcessServiceImpl] ProcessServiceImpl.java:79 - 清理BOM缓存......
2022-01-10 09:46:13,666 [SpringContextShutdownHook] INFO  [o.s.scheduling.concurrent.ThreadPoolTaskExecutor] ExecutorConfigurationSupport.java:208 - Shutting down ExecutorService 'applicationTaskExecutor'
2022-01-10 09:46:13,668 [SpringContextShutdownHook] INFO  [o.s.scheduling.concurrent.ThreadPoolTaskScheduler] ExecutorConfigurationSupport.java:208 - Shutting down ExecutorService 'taskScheduler'
2022-01-10 09:46:13,673 [SpringContextShutdownHook] INFO  [o.s.orm.jpa.LocalContainerEntityManagerFactoryBean] AbstractEntityManagerFactoryBean.java:598 - Closing JPA EntityManagerFactory for persistence unit 'default'
2022-01-10 09:46:13,677 [SpringContextShutdownHook] INFO  [com.zaxxer.hikari.HikariDataSource] HikariDataSource.java:350 - HikariPool-1 - Shutdown initiated...
2022-01-10 09:46:13,683 [SpringContextShutdownHook] INFO  [com.zaxxer.hikari.HikariDataSource] HikariDataSource.java:352 - HikariPool-1 - Shutdown completed.
2022-01-10 09:46:18,299 [restartedMain] INFO  [com.bsjx.mes.pdm.PdmApplication] StartupInfoLogger.java:55 - Starting PdmApplication on WINDOWS-6JNKEE0 with PID 13420 (D:\xiangmu\mes\mes-backend\mes-pdm-master\target\classes started by EDZ in D:\xiangmu\mes\mes-backend\mes-pdm-master)
2022-01-10 09:46:18,302 [restartedMain] INFO  [com.bsjx.mes.pdm.PdmApplication] SpringApplication.java:651 - No active profile set, falling back to default profiles: default
